location;time_of_measurement;counted_pedestrians;type;incidents
Rathausgasse, Freiburg;2020-01-06 14:45:57 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 14:49:37 +0100;22;regular;""
Rathausgasse, Freiburg;2020-01-06 14:54:50 +0100;24;regular;""
Rathausgasse, Freiburg;2020-01-06 14:55:46 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 14:59:39 +0100;27;regular;""
Rathausgasse, Freiburg;2020-01-06 15:00:11 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 15:04:55 +0100;37;regular;""
Rathausgasse, Freiburg;2020-01-06 15:09:13 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 15:09:57 +0100;36;regular;""
Rathausgasse, Freiburg;2020-01-06 15:14:43 +0100;1;regular;""
Rathausgasse, Freiburg;2020-01-06 15:14:55 +0100;26;regular;""
Rathausgasse, Freiburg;2020-01-06 15:19:51 +0100;30;regular;""
Rathausgasse, Freiburg;2020-01-06 15:23:19 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 15:24:36 +0100;28;regular;""
Rathausgasse, Freiburg;2020-01-06 15:29:11 +0100;3;regular;""
Rathausgasse, Freiburg;2020-01-06 15:29:57 +0100;33;regular;""
Rathausgasse, Freiburg;2020-01-06 15:32:35 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 15:34:14 +0100;20;regular;""
Rathausgasse, Freiburg;2020-01-06 15:38:54 +0100;8;regular;""
Rathausgasse, Freiburg;2020-01-06 15:39:45 +0100;33;regular;""
Rathausgasse, Freiburg;2020-01-06 15:44:18 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 15:44:36 +0100;19;regular;""
Rathausgasse, Freiburg;2020-01-06 15:49:00 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 15:49:59 +0100;22;regular;""
Rathausgasse, Freiburg;2020-01-06 15:54:47 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 15:54:54 +0100;29;regular;""
Rathausgasse, Freiburg;2020-01-06 15:59:57 +0100;17;regular;""
Rathausgasse, Freiburg;2020-01-06 16:04:18 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 16:04:26 +0100;30;regular;""
Rathausgasse, Freiburg;2020-01-06 16:09:21 +0100;4;regular;""
Rathausgasse, Freiburg;2020-01-06 16:09:59 +0100;33;regular;""
Rathausgasse, Freiburg;2020-01-06 16:12:46 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 16:14:57 +0100;40;regular;""
Rathausgasse, Freiburg;2020-01-06 16:17:25 +0100;2;regular;""
Rathausgasse, Freiburg;2020-01-06 16:19:59 +0100;26;regular;""
Rathausgasse, Freiburg;2020-01-06 16:24:58 +0100;26;regular;""
Rathausgasse, Freiburg;2020-01-06 16:29:54 +0100;28;regular;""
