location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Süd), Stuttgart;2020-01-06 14:44:56 +0100;163;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:47:39 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:49:59 +0100;184;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:52:03 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:54:53 +0100;187;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:59:51 +0100;9;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 14:59:57 +0100;227;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:01:29 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:04:59 +0100;185;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:09:57 +0100;186;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:13:23 +0100;6;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:14:59 +0100;220;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:19:54 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:19:55 +0100;215;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:24:24 +0100;8;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:24:54 +0100;220;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:29:18 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:29:58 +0100;223;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:32:11 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:34:58 +0100;202;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:39:10 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:39:53 +0100;210;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:44:24 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:44:58 +0100;192;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:49:40 +0100;8;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:49:58 +0100;246;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:54:59 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:54:59 +0100;192;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:59:51 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 15:59:51 +0100;140;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:03:49 +0100;7;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:04:57 +0100;188;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:09:46 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:09:59 +0100;229;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:14:48 +0100;4;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:14:57 +0100;225;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:18:45 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:19:52 +0100;203;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:24:58 +0100;167;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:27:27 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:29:57 +0100;241;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:30:45 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:34:59 +0100;211;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:39:32 +0100;1;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:39:59 +0100;156;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:44:59 +0100;145;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:48:08 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:49:58 +0100;179;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:54:10 +0100;3;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:54:54 +0100;228;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:59:07 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 16:59:52 +0100;186;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:04:37 +0100;5;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:04:59 +0100;180;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:08:45 +0100;2;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:09:48 +0100;138;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:14:56 +0100;10;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:14:58 +0100;190;regular;""
Königstraße (Süd), Stuttgart;2020-01-06 17:19:43 +0100;4;regular;""
