location;time_of_measurement;counted_pedestrians;type;incidents
Planken (Mitte), Mannheim;2020-03-04 09:39:56 +0100;67;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:39:58 +0100;41;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:42:56 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:44:44 +0100;55;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:44:59 +0100;70;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:48:37 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:49:39 +0100;69;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:49:56 +0100;63;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:53:10 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:53:53 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:54:33 +0100;69;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:54:54 +0100;98;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:59:52 +0100;37;regular;""
Planken (Mitte), Mannheim;2020-03-04 09:59:58 +0100;73;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:00:04 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:04:24 +0100;38;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:04:53 +0100;67;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:08:01 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:09:51 +0100;51;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:09:55 +0100;77;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:14:55 +0100;73;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:14:56 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:14:57 +0100;80;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:17:11 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:19:42 +0100;46;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:19:52 +0100;48;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:24:47 +0100;32;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:24:47 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:24:59 +0100;63;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:29:28 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:29:55 +0100;123;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:32:53 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:34:50 +0100;92;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:34:54 +0100;61;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:39:30 +0100;4;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:39:52 +0100;76;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:39:58 +0100;41;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:44:15 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:44:57 +0100;53;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:44:59 +0100;84;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:48:00 +0100;3;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:49:56 +0100;54;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:49:57 +0100;88;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:54:20 +0100;1;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:54:47 +0100;65;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:54:54 +0100;74;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:57:05 +0100;2;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:59:53 +0100;104;regular;""
Planken (Mitte), Mannheim;2020-03-04 10:59:58 +0100;72;regular;""
